# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416329804;8454280;256070144;96.80;168852;52785368;207638928;76.08
axle;60;1416329864;8000172;256524252;96.98;169068;52816000;208076512;76.24
axle;60;1416329924;5064820;259459604;98.09;169180;54890920;208914636;76.55
axle;60;1416329984;6439780;258084644;97.57;169244;54945888;207480528;76.03
axle;60;1416330044;6295416;258229008;97.62;169316;54947576;207630236;76.08
axle;60;1416330104;4974948;259549476;98.12;169428;56424604;207478692;76.02
axle;60;1416330164;4962116;259562308;98.12;169456;56425500;207478696;76.02
axle;60;1416330224;2706976;261817448;98.98;169512;58622860;207540976;76.05
axle;60;1416330284;2654816;261869608;99.00;169588;58738692;207477588;76.02
