# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416329804;sda;28.93;85.32;6469.06;226.57;1.09;37.57;0.33;0.95
axle;60;1416329864;sda;5.66;188.75;640.99;146.60;0.02;3.42;0.37;0.21
axle;60;1416329924;sda;3.78;32.67;530.53;148.86;0.02;6.10;0.19;0.07
axle;60;1416329984;sda;1.28;0.00;87.21;67.95;0.00;0.00;0.00;0.00
axle;60;1416330044;sda;1.03;0.00;72.00;69.68;0.00;0.00;0.00;0.00
axle;60;1416330104;sda;2.15;0.00;140.63;65.36;0.00;0.40;0.03;0.01
axle;60;1416330164;sda;1.23;0.00;61.61;49.95;0.00;0.49;0.05;0.01
axle;60;1416330224;sda;1.02;0.00;71.87;70.69;0.00;0.26;0.07;0.01
axle;60;1416330284;sda;1.18;0.00;64.97;54.87;0.00;0.28;0.11;0.01
