task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-18 17:43:26.968298,2014-11-18 17:55:41.562928,00:12:14.59463,734.59463
PERF.POWER.RF1,2014-11-18 17:55:44.029659,2014-11-18 17:56:00.079742,00:00:16.050083,16.050083
PERF.POWER.Q14,2014-11-18 17:56:00.092708,2014-11-18 17:56:12.715315,00:00:12.622607,12.622607
PERF.POWER.Q2,2014-11-18 17:56:12.732168,2014-11-18 17:56:19.909728,00:00:07.17756,7.17756
PERF.POWER.Q9,2014-11-18 17:56:19.928056,2014-11-18 17:57:45.76517,00:01:25.837114,85.837114
PERF.POWER.Q20,2014-11-18 17:57:45.780649,2014-11-18 17:57:53.977303,00:00:08.196654,8.196654
PERF.POWER.Q6,2014-11-18 17:57:53.995362,2014-11-18 17:58:11.672872,00:00:17.67751,17.67751
PERF.POWER.Q17,2014-11-18 17:58:11.688614,2014-11-18 17:58:12.180565,00:00:00.491951,0.491951
PERF.POWER.Q18,2014-11-18 17:58:12.202006,2014-11-18 17:59:17.069698,00:01:04.867692,64.867692
PERF.POWER.Q8,2014-11-18 17:59:17.090276,2014-11-18 17:59:25.392538,00:00:08.302262,8.302262
PERF.POWER.Q21,2014-11-18 17:59:25.413881,2014-11-18 18:00:03.157514,00:00:37.743633,37.743633
PERF.POWER.Q13,2014-11-18 18:00:03.177201,2014-11-18 18:00:25.851353,00:00:22.674152,22.674152
PERF.POWER.Q3,2014-11-18 18:00:25.869944,2014-11-18 18:00:53.455049,00:00:27.585105,27.585105
PERF.POWER.Q22,2014-11-18 18:00:53.474921,2014-11-18 18:01:00.692277,00:00:07.217356,7.217356
PERF.POWER.Q16,2014-11-18 18:01:00.710252,2014-11-18 18:01:10.991177,00:00:10.280925,10.280925
PERF.POWER.Q4,2014-11-18 18:01:11.011163,2014-11-18 18:01:20.100628,00:00:09.089465,9.089465
PERF.POWER.Q11,2014-11-18 18:01:20.120952,2014-11-18 18:01:22.427333,00:00:02.306381,2.306381
PERF.POWER.Q15,2014-11-18 18:01:22.448197,2014-11-18 18:01:43.572386,00:00:21.124189,21.124189
PERF.POWER.Q1,2014-11-18 18:01:43.594396,2014-11-18 18:03:08.843825,00:01:25.249429,85.249429
PERF.POWER.Q10,2014-11-18 18:03:08.86457,2014-11-18 18:03:33.746501,00:00:24.881931,24.881931
PERF.POWER.Q19,2014-11-18 18:03:33.767535,2014-11-18 18:03:34.385507,00:00:00.617972,0.617972
PERF.POWER.Q5,2014-11-18 18:03:34.40297,2014-11-18 18:03:48.426722,00:00:14.023752,14.023752
PERF.POWER.Q7,2014-11-18 18:03:48.446562,2014-11-18 18:04:06.985926,00:00:18.539364,18.539364
PERF.POWER.Q12,2014-11-18 18:04:07.005297,2014-11-18 18:04:27.611793,00:00:20.606496,20.606496
PERF.POWER.RF2,2014-11-18 18:04:27.622322,2014-11-18 18:05:01.861886,00:00:34.239564,34.239564
PERF.POWER,2014-11-18 17:55:44.023141,2014-11-18 18:05:01.871592,00:09:17.848451,557.848451
PERF.THRUPUT.QS15.Q6,2014-11-18 18:11:36.528684,2014-11-18 18:11:57.190956,00:00:20.662272,20.662272
