# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416330506;-48573.03;-443.72;29339.32
axle;60;1416330566;2898.65;-57.05;-8695.54
axle;60;1416330626;-1242.67;-10.91;-10436.67
axle;60;1416330686;21034.65;-0.03;-5834.43
axle;60;1416330746;-1287.34;0.45;390.84
axle;60;1416330806;3446.21;0.52;-143.74
axle;60;1416330866;-4213.40;0.55;546.07
axle;60;1416330926;-1477.43;0.57;29.13
axle;60;1416330986;-11762.18;0.50;3000.08
axle;60;1416331046;17147.19;0.48;-673.60
axle;60;1416331106;-3585.93;0.48;-1742.19
axle;60;1416331166;20876.23;0.52;-265.70
axle;60;1416331226;1360.02;0.25;8.61
axle;60;1416331286;-22.33;0.28;9.33
axle;60;1416331346;18.62;0.20;6.80
axle;60;1416331406;-570.82;0.18;8.46
axle;60;1416331466;525.28;0.20;7.87
