# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416330506;0.00;0.00
axle;60;1416330566;0.00;0.00
axle;60;1416330626;0.00;0.00
axle;60;1416330686;0.00;0.00
axle;60;1416330746;0.00;0.00
axle;60;1416330806;0.00;0.00
axle;60;1416330866;0.00;0.00
axle;60;1416330926;0.00;0.00
axle;60;1416330986;0.00;0.00
axle;60;1416331046;0.00;0.00
axle;60;1416331106;0.00;0.00
axle;60;1416331166;0.00;0.00
axle;60;1416331226;0.00;0.00
axle;60;1416331286;0.00;0.00
axle;60;1416331346;0.00;0.00
axle;60;1416331406;0.00;0.00
axle;60;1416331466;0.00;0.00
